umap1,umap2,y_label,y_pred
12.501351,16.11132,1.0,0.9821098
12.784277,11.683124,0.0,0.0067475354
11.772982,10.624968,1.0,0.99774027
11.46509,15.341202,0.0,0.00762743
8.596414,13.649231,0.0,0.22099645
12.377345,16.567265,1.0,0.99566793
9.21952,16.507349,0.0,0.23557381
11.252357,15.375991,0.0,0.00053785485
11.941557,16.614729,1.0,0.9248789
11.673543,11.837726,0.0,0.2390174
8.893422,13.717195,0.0,0.027824186
9.427066,15.795585,0.0,0.026766084
9.411968,15.230142,0.0,0.004284449
7.427886,15.6329565,1.0,0.99956316
10.404376,14.336469,0.0,0.00017383017
9.721915,16.07482,0.0,0.0010307884
11.839623,10.713034,1.0,0.99960893
8.576104,15.334122,0.0,0.0030963526
8.99167,11.829571,0.0,0.0014421062
12.842289,11.9240265,1.0,0.98937523
9.550689,16.36311,1.0,0.13298681
7.3598638,12.561095,1.0,0.9758696
9.34261,13.865546,0.0,0.1158508
10.787174,12.642863,0.0,0.06853988
8.388994,13.236059,0.0,0.0010311101
10.907419,15.675988,0.0,0.0051782313
14.477781,11.057178,1.0,0.9996439
9.402423,16.84556,1.0,0.9368559
11.678821,10.275245,0.0,0.38988703
9.493221,13.001698,0.0,0.04470345
8.750163,15.585183,1.0,0.92357224
10.201942,16.422382,0.0,0.1380131
13.120695,11.286582,0.0,0.24645174
14.541244,11.328691,1.0,0.9997892
13.041548,15.837337,0.0,0.9887143
10.580616,12.044611,0.0,0.09486817
14.528036,11.096897,1.0,0.9844971
14.124337,11.739805,1.0,0.99721503
14.119552,11.680813,1.0,0.99976784
12.661064,14.707866,0.0,0.035088677
9.844795,14.630322,0.0,0.19904703
14.275873,11.168283,1.0,0.99981695
10.40292,16.723263,0.0,0.68419904
8.575748,15.83323,1.0,0.9822838
11.070125,16.4354,1.0,0.9900519
10.935993,11.767894,0.0,0.0028406063
14.214593,10.93375,1.0,0.83061427
12.791595,11.794193,1.0,0.9885914
10.974935,11.470519,0.0,0.8572902
10.948344,13.161975,0.0,0.0077004693
13.643863,14.955459,1.0,0.9981146
14.228865,10.529612,1.0,0.99761176
13.621596,14.574166,1.0,0.99967945
7.145879,13.051613,1.0,0.8575806
14.084072,11.655183,1.0,0.99919814
11.477548,10.197413,1.0,0.98547703
11.052578,13.565144,0.0,0.99869317
11.292652,10.344753,0.0,0.47566643
10.560821,12.384756,0.0,0.13993861
13.948258,11.696657,1.0,0.9983127
11.936158,16.304817,1.0,0.96249026
9.128665,13.420943,0.0,0.014351957
14.615496,10.757782,1.0,0.95404947
13.34637,14.618898,0.0,0.074020766
10.245994,11.57586,1.0,0.74317455
13.9796295,10.819838,1.0,0.9996885
11.3947735,10.300293,1.0,0.9894077
11.340055,13.606614,1.0,0.99660254
12.541317,13.814307,0.0,0.8380393
10.817633,11.41512,1.0,0.7954837
14.47866,11.517978,1.0,0.99900275
10.769939,13.875984,0.0,0.0010200109
12.195951,14.481712,0.0,0.24123429
11.336207,14.222578,0.0,0.003051642
14.633078,10.827956,1.0,0.95574397
10.300197,12.883011,1.0,0.9893416
9.622768,17.012272,1.0,0.9972523
8.178079,12.227441,0.0,0.1519712
12.650775,16.320457,1.0,0.9962399
10.927389,10.57149,0.0,0.0034496216
12.526164,11.38063,1.0,0.9996798
13.80436,11.671928,1.0,0.999627
8.872157,16.331017,0.0,0.04668392
9.741681,13.9924,0.0,0.025337132
12.485487,12.225285,0.0,0.0038855933
12.201721,14.363584,1.0,0.9863252
12.944813,13.887486,1.0,0.95623237
8.157784,12.177316,0.0,0.009061123
13.327658,14.117051,1.0,0.9939347
12.751283,15.633524,0.0,0.42274633
9.132725,15.563787,1.0,0.938316
7.8611054,12.699799,1.0,0.5699859
14.513019,12.156368,0.0,0.7986826
11.482285,12.520954,1.0,0.8583772
11.296423,13.774336,0.0,0.2264188
11.110235,12.658703,0.0,0.0079714125
10.601764,12.406495,1.0,0.953639
7.832549,15.1528425,1.0,0.22287577
10.459378,14.031443,0.0,0.0013199489
10.20925,11.52673,1.0,0.9764589
10.820424,14.447911,0.0,0.010417527
