umap1,umap2,y_label,y_pred
7.714866,6.1337695,0,0.30413294
6.867497,3.5582297,0,0.04036153
4.1880665,3.6677036,1,0.9762447
3.0143425,2.916839,1,0.9978866
5.36836,6.4471498,1,0.98841953
3.081377,3.2684767,1,0.989499
8.34527,5.50617,0,0.005835248
5.5555387,2.833371,0,0.014583825
3.0153189,2.8216143,1,0.9668181
7.1153016,3.3753529,0,0.021237986
2.896427,5.5780745,0,0.18007177
9.065752,5.8924184,0,0.10958155
5.259952,5.9933977,1,0.9939983
4.7710543,5.8458676,1,0.998109
5.094616,6.335562,1,0.99900466
7.476373,3.8375642,0,0.0035875072
6.6783876,13.261622,1,0.99408084
10.885201,3.2422578,1,0.9915541
4.0502014,1.2760941,1,0.9938737
10.493189,3.730152,0,0.006264171
0.21514976,7.0352144,1,0.9963701
3.9885433,1.4328955,1,0.98481745
8.042092,1.8365589,0,0.008259964
3.2539659,5.835979,1,0.9977012
6.28694,1.7976418,0,0.013196784
6.7927623,1.588868,0,0.002792881
3.1307735,3.1102757,1,0.9988325
9.6431875,3.1417208,1,0.9005982
5.0140233,6.7231812,1,0.99640465
0.1683994,6.6471634,1,0.9905282
6.6962543,12.999663,1,0.9978098
10.028188,4.8234506,0,0.0039718547
5.0609756,6.1667337,1,0.9922915
0.5000441,6.7458787,1,0.99636936
0.49382526,7.080028,1,0.9698666
4.984673,3.044976,0,0.15770738
3.437727,-0.8145939,1,0.9236496
6.924563,1.9573443,0,0.003079952
4.09635,1.2627672,1,0.97840595
6.279283,2.3046396,0,0.0035438892
4.8591084,5.3045487,1,0.9962063
6.470905,12.441762,1,0.9988446
4.1552234,4.4588037,1,0.99887055
6.492907,2.9172673,0,0.08270617
9.979009,4.6491947,0,0.0030654692
5.7594547,2.5365975,0,0.00551571
6.589349,1.7078627,0,0.0015772713
4.452522,5.947511,1,0.99940705
5.239382,6.0598083,1,0.99893373
9.048806,5.045106,0,0.25842974
5.2241297,3.141529,1,0.3775288
10.006299,4.861654,0,0.014145344
3.7754602,3.732288,1,0.99331564
7.685365,6.0604124,1,0.941115
4.686846,6.8463593,1,0.99397296
8.597158,2.9911206,0,0.015904868
4.6327267,3.586498,1,0.9828304
5.1304393,5.5292315,1,0.97870445
3.9619515,1.2609962,1,0.9949073
6.810253,2.5576997,0,0.0013704364
3.3164582,3.393919,1,0.9989874
8.562341,4.009546,0,0.014454772
8.490015,3.7505178,0,0.0033527934
5.293118,4.047517,1,0.9287612
6.6987457,1.697418,0,0.008172424
6.201162,4.051007,0,0.032992467
5.857539,2.6850722,0,0.033111043
7.715431,1.6270171,0,0.21781346
10.674079,3.56092,0,0.069089234
6.380563,12.796365,1,0.9983204
4.140168,3.4928598,1,0.9944792
6.538638,2.8085601,0,0.0040911147
5.708961,4.2831936,0,0.16015762
7.2197857,3.9247296,0,0.00036455027
3.794765,1.0623229,1,0.92178345
10.904953,3.4465723,1,0.98595804
7.774785,5.3665032,0,0.006582521
7.0713363,4.3432803,0,0.020815324
3.3179622,-0.6645688,1,0.97684914
4.202471,4.4415736,1,0.99965215
5.0252852,6.9496026,1,0.9952496
4.936921,4.8084393,1,0.9904206
7.023565,2.0185013,0,0.002966114
9.195562,5.0478535,0,0.01099854
8.5728,5.8777647,0,0.014708056
6.1959214,2.508508,0,0.003294341
4.923666,3.9987595,1,0.99640584
5.69698,3.1123507,0,0.1894381
8.2054405,5.436849,0,0.0064093336
5.215014,5.902111,1,0.9962205
10.690947,3.2046707,0,0.927899
3.2159934,-0.6133074,1,0.9723175
10.062438,4.333155,0,0.005354487
8.98543,5.802029,0,0.007051458
5.3201094,4.116675,0,0.7833073
6.289371,13.037969,1,0.9982358
9.915142,4.498336,0,0.0146047
0.37466708,6.9620743,1,0.9942683
9.52762,4.246057,0,0.4473907
4.8709564,5.8092966,1,0.9985795
6.6080832,3.0812283,0,0.0078015462
6.346278,3.1177654,0,0.015759114
4.564333,6.84359,1,0.99806076
3.883884,1.2036883,1,0.99603516
7.0191436,2.9031582,0,0.025959427
9.61882,4.0873537,0,0.008661434
8.685135,5.829674,0,0.0074718413
8.810072,5.6917577,0,0.003539828
6.3566313,1.9130208,0,0.42497522
5.310369,6.779276,1,0.99738365
4.6114526,3.552941,1,0.82933694
5.5126657,6.4874363,1,0.9756914
0.36048096,7.0037365,1,0.99478006
9.017656,2.9534254,0,0.016307397
3.5273461,-0.54398876,1,0.84937376
9.003182,5.4685445,0,0.004050987
6.717792,12.694796,1,0.99652255
3.5714598,-0.45658833,1,0.9015371
8.8111515,2.990307,0,0.001710072
9.390583,5.120543,0,0.0024478678
8.029088,3.9835541,0,0.08837655
10.775596,3.2986214,0,0.54800206
3.9114735,3.0885394,1,0.99258184
10.253839,4.595205,0,0.0010598217
6.527938,12.5593605,1,0.9994678
6.728234,12.855522,1,0.9980368
1.6628208,6.200051,1,0.99576026
10.43647,3.2608542,0,0.06668066
6.623933,3.1808612,0,0.005266297
6.6256394,13.025876,1,0.9971775
8.405187,3.8869793,0,0.0026272146
3.1076207,3.1704862,1,0.99964654
2.9853408,2.701812,1,0.9884369
6.661508,13.108689,1,0.98965806
10.39925,4.359642,0,0.0007726818
9.324626,5.2178903,0,0.00060029747
4.5048375,4.4588003,1,0.99429494
4.224274,1.8031511,1,0.9932215
6.328477,6.3440623,1,0.9985562
4.7782025,4.523842,1,0.88860774
5.7803965,2.5051663,0,0.034726616
6.37531,6.336629,1,0.9979856
2.8847814,2.793986,1,0.9583454
6.4677076,3.0299232,0,0.0012767713
